Date,Open,high,low,count
2020.01.30 09:15,1580.21,1582.45,1579.68,1581.95
2020.01.30 09:30,1581.95,1582.48,1581.09,1581.99
2020.01.30 09:45,1582,1582.01,1580.44,1581.57
2020.01.30 10:00,1581.53,1582.09,1580.38,1580.81
2020.01.30 10:15,1580.81,1582.98,1580.81,1581.58
2020.01.30 10:30,1581.54,1582.05,1580.96,1581.01
2020.01.30 10:45,1581.07,1581.51,1580.69,1580.69
2020.01.30 11:00,1580.69,1581.36,1580.35,1580.41
2020.01.30 11:15,1580.4,1580.66,1578.37,1578.78
2020.01.30 11:30,1578.75,1580.19,1578.72,1580.05
2020.01.30 11:45,1580.05,1580.45,1579.67,1580
2020.01.30 12:00,1580,1580.79,1579.01,1579.22
2020.01.30 12:15,1579.24,1580.41,1579.12,1580.34
2020.01.30 12:30,1580.34,1580.63,1579.16,1579.19
2020.01.30 12:45,1579.19,1580.31,1579.13,1580.25
2020.01.30 13:00,1580.25,1581.32,1580.16,1581.1
2020.01.30 13:15,1581.11,1581.75,1580.7,1580.8
2020.01.30 13:30,1580.79,1581.11,1580.3,1580.47
2020.01.30 13:45,1580.43,1580.56,1579.95,1580.02
2020.01.30 14:00,1580.01,1581.51,1579.51,1580.41
2020.01.30 14:15,1580.41,1581.12,1579.67,1580.71
2020.01.30 14:30,1580.71,1581.59,1579.79,1580.29
2020.01.30 14:45,1580.29,1580.84,1579.77,1580.71
2020.01.30 15:00,1580.78,1581.25,1579.54,1580.04
2020.01.30 15:15,1580.07,1580.64,1577.79,1578.15
2020.01.30 15:30,1578.05,1579.88,1576.79,1578.75
2020.01.30 15:45,1578.75,1580.94,1577.95,1578.67
2020.01.30 16:00,1578.61,1579.85,1577.77,1579.83
2020.01.30 16:15,1579.82,1580.16,1578.62,1579.08
2020.01.30 16:30,1578.98,1579.32,1572.35,1576.83
2020.01.30 16:45,1576.85,1578.59,1575.23,1578.03
2020.01.30 17:00,1578.07,1579.13,1576.35,1578.85
2020.01.30 17:15,1578.98,1580.07,1577.77,1577.95
2020.01.30 17:30,1577.95,1584.7,1577.95,1583.38
2020.01.30 17:45,1583.37,1585.24,1582.4,1583.63
2020.01.30 18:00,1583.6,1584.48,1582.22,1582.32
2020.01.30 18:15,1582.35,1583.13,1581.32,1582.44
2020.01.30 18:30,1582.44,1583.37,1581.18,1582.06
2020.01.30 18:45,1581.99,1582.18,1579.39,1581.16
2020.01.30 19:00,1581.16,1582.11,1579.96,1582.04
2020.01.30 19:15,1582.05,1583.08,1581.17,1583.04
